hotel_name,review_summary,review_p1,review_p2,score
Hotel Hilton London Gatwick Airport,Awful...,"Its hard to find words that can describe this experience without being too dismissive so i'll keep it short.  Pros. - Check experience was fine.... The checkin clerk was funny and helpful, and had a lovely manner with the guests. Very efficient. - Location... Very well set for access to Gatwick airport, with a short walk to the terminal for your flights.  Cons - Food...  the hotel not only was packed full and the restaurants were full, but the food itself was incredibly poor and expensive.   We did the buffet... on the evening.... barely anything was truly good tasting..... AVOID - Comfort... Hiltons of late seem to be less and less comfortable, the rooms stark... and without any character. Not the cleanest of rooms either. - its a big hotel.... everywhere is a lengthy walk and"," its just all a bit 'run down'  Poor food, not the best night sleep, expensive for what it is, tired and in need of significant change.  AVOID!","<span class=""ui_bubble_rating bubble_10""></span>"
Hotel Hilton London Gatwick Airport,Great start to hokidat,"Staying in a hotel that’s part of the airport itself ie no tedious and expensive shuttle buses is integral to my coping strategy for early morning flights.  So staying at the Gatwick Hilton was a no brainer for our recent departure from south terminal.  Lots of other passengers seem to share this view as we arrived at a busy time.  But we didn’t have to wait long because after checking in on line our key cards had been prepared in advance and given to us whilst in the queue - a great idea.  The hotel has all the usual Hilton brand values - well equipped, spacious rooms, quiet and efficiently run.  We had a nice dinner in Amy’s restaurant which also has a welcoming bar.  All in all a v pleasant hotel that we would be happy to return to.",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hotel Hilton London Gatwick Airport,A good overnight stay!,"My wife and I stayed at this hotel for one night before flying out to Costa Rica on holiday.  As well as booking a room, I booked a Meet and Greet at the hotel for the car, and Ace Parking were there when we arrived to take the car away for the duration of our holiday.  This is such an easy way to combine a room and parking.  The hotel has 821 rooms, spread over six floors. There are eleven different types of room, so there is plenty of choice depending on your budget. I chose a twin guest room, but when booking in online, I was offered a deluxe twin room which I was happy to take.  We occupied Room 7012, that has an interconnecting door to the room next door if you require a family room. The level of decoration in the room was very good, and it also had a free security safe,"," flat-screen TV (with a huge selection of TV channels), tea/coffee making facilities, fridge (but no mini-bar), easy to use air-conditioning which was effective, cupboard for hanging clothes (with five clothes hangers), plenty of clothes drawers, excellent wi-fi, two pillows on each bed with extras available, a trouser press, ironing board and iron and a phone in the bedroom and bathroom.  We could only find three plug points for charging mobile phones, ipads, etc. The bathroom had a bath and shower, a washing line for drying clothes, a toilet, large basin, a weighing scale, and Crabtree and Evelyn body products, and a hairdryer. As befits a hotel of this calibre, the facilties were impressive with a fitness centre, executive lounge, business and conference centres.  There is a choice of two restaurants and two bars (which both served food) - one of the bars shows key sporting events on screens.  Costa Coffee has an outlet very close to reception.  There is also paid private parking nearby. One of the big benefits of the hotel is the covered walkway to the South Terminal at Gatwick, which is about a ten minute walk.. This is a superb hotel, with comfortable rooms and facilities and within an easy walking distance directly into the South Terminal.","<span class=""ui_bubble_rating bubble_50""></span>"
Hotel Hilton London Gatwick Airport,Satisfactory one night stay,"One night  stay which turned out to be much better than expected.Waited in the never ending queue to check in, a young guy enquired if we would like him to check us in, why not , thanks . The gentleman turned out to Mohamed who worked on the priorty desk, who in fact couldnt do enough for us , even gave us a recently refurbished room. Room was bright and spotless, tea and coffee facility , bed was comfortable , lots of extras in the shower room, what more could we wish for . Considering the money we paid this was a good start to our holiday. With a 5/6 minute walk to the terminal it didnt get any better. We skipped  the £18 pp breakfast as we felt we couldnt do it justice. Bar prices once the discretionary  service charge was added were a little on the high side .But its London,"," so higher prices are expected. Overall a very nice stay, and thanks again to Mohamed for making it more enjoyable , you're a credit to the company.","<span class=""ui_bubble_rating bubble_40""></span>"
Hotel Hilton London Gatwick Airport,"Still nice but looking a bit sad, old and dated","We had an executive room and even these are starting to look a bit old and tired. That said still a very nice room.    We had a problem in that literally every time we moved the bed frame creaked really loudly, so we both had a rubbish nights sleep as every time one of us moved it woke us up.  I mentioned it at checkout and got the impression of little interest and it probably hasn’t been dealt with,  with all he said being “oh, we’ll look into it”   The above said there does appear to be some building work going on so hopefully this is a modernisation programme, as we love staying at this hotel.",,"<span class=""ui_bubble_rating bubble_40""></span>"
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
